player,team,team_country,position,age,birth_year,club,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Unai Simón,Spain,Spain,GK,29-013,1997,Athletic Club,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,2,0,,0,2.0,4.0,0.0,4.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,2.0,180.0,0.0,0.0,2.0,2.0,100.0,1.0,1.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,
Víctor Muñoz,Spain,Spain,MF,22-346,2003,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yéremy Pino,Spain,Spain,"FW,MF",23-247,2002,Crystal Palace,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,45.0,25.0,,0,1,45.0,1,3.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Álex Baena,Spain,Spain,FW,24-339,2001,Atlético Madrid,1,1,61.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.95,0.0,0.0,,61.0,33.9,61.0,0,0,,1,3.0,4.0,0.0,4.0,5.9,5.9,0.0,1.0,0.0,0.0,7.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Álex Grimaldo,Spain,Spain,"DF,MF",30-277,1995,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Bernhardsson,Sweden,Sweden,MF,27-289,1998,Holstein Kiel,2,2,143.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,72.0,79.4,72.0,0,0,,0,1.5,4.0,5.0,-1.0,-0.63,-3.06,0.0,0.0,3.0,0.0,3.0,2.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Alexander Isak,Sweden,Sweden,FW,26-276,1999,Liverpool,2,2,179.0,2.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.5,1.51,2.01,0.5,2.01,4.0,3.0,75.0,2.01,1.51,0.25,0.33,90.0,99.4,90.0,1,0,,0,1.5,5.0,6.0,-1.0,-0.5,-90.5,0.0,1.0,1.0,4.0,3.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Anthony Elanga,Sweden,Sweden,"FW,MF",24-058,2002,Newcastle,2,0,37.0,0.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.43,0.0,2.43,2.43,2.43,1.0,1.0,100.0,2.43,2.43,1.0,1.0,19.0,20.6,,0,2,19.0,0,1.5,2.0,1.0,1.0,2.43,3.06,0.0,0.0,1.0,0.0,5.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Benjamin Nygren,Sweden,Sweden,MF,24-351,2001,Celtic,2,2,118.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.76,0.0,0.0,,59.0,65.6,59.0,0,0,,0,1.5,3.0,5.0,-2.0,-1.53,-4.43,0.0,3.0,0.0,0.0,4.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Besfort Zeneli,Sweden,Sweden,MF,23-215,2002,Union SG,1,0,35.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,2.57,2.57,0.0,0.0,35.0,19.4,,0,1,35.0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Carl Starfelt,Sweden,Sweden,DF,31-023,1995,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Svensson,Sweden,Sweden,"DF,MF",24-132,2002,Dortmund,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,1.0,0.6,,0,1,1.0,1,3.0,1.0,0.0,1.0,90.0,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Elliot Stroud,Sweden,Sweden,MF,24-002,2002,Mjällby,2,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,14.0,15.0,,0,2,14.0,0,1.5,2.0,0.0,2.0,6.67,7.84,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Eric Smith,Sweden,Sweden,"DF,MF",29-167,1997,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Gudmundsson,Sweden,Sweden,MF,27-056,1999,Leeds United,2,2,153.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,77.0,85.0,77.0,0,0,,0,1.5,4.0,6.0,-2.0,-1.18,-7.84,0.0,3.0,4.0,0.0,3.0,2.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Gustaf Lagerbielke,Sweden,Sweden,DF,26-075,2000,Braga,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.5,0.5,0.0,0.0,90.0,100.0,90.0,2,0,,0,1.5,6.0,6.0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
